Region,Country/Jurisdiction,Issuing Body,Document Title,Document Type,Year/Date Published,Primary Topic / Predicate Crime / Typology Area,Brief Summary,Direct URL,Target Audience / Reporting Entity Sector
North America,United States,FFIEC,BSA/AML Examination Manual — Appendix F: Red Flags,Manual section,2014 (current),All ML/TF,Comprehensive list of money laundering and terrorist financing red flags used by US bank examiners.,https://bsaaml.ffiec.gov/manual/Appendices/07,Banks
North America,United States,FFIEC,Full BSA/AML Examination Manual,Manual,2021 (rolling),BSA/AML,Master examination manual covering all BSA/AML supervisory expectations.,https://bsaaml.ffiec.gov/manual,Banks
North America,United States,FINRA,Regulatory Notice 19-18 (Suspicious Activity Monitoring),Notice,2019,Securities AML,Securities-specific suspicious activity monitoring guidance and red flags.,https://www.finra.org/rules-guidance/notices/19-18,Broker-dealers
North America,Canada,FINTRAC,ML/TF Indicators — Financial Entities,Indicator list,Updated,All ML/TF,"Sectoral red flag indicators for banks, credit unions, and other financial entities.",https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,Banks
North America,Canada,FINTRAC,ML/TF Indicators — MSBs,Indicator list,Updated,MSB,Sectoral red flag indicators for money services businesses.,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/msb_mltf-eng,MSBs
North America,Canada,FINTRAC,ML/TF Indicators — Real Estate,Indicator list,Updated,Real estate,Sectoral red flag indicators for real estate brokers and agents.,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/real_mltf-eng,Real estate
North America,Canada,FINTRAC,ML/TF Indicators — Virtual Currency,Indicator list,Updated,Crypto,Sectoral red flag indicators for virtual currency dealers.,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/vc_mltf-eng,VASPs
North America,Canada,FINTRAC,Operational Alert: Laundering of Proceeds of Online Child Sexual Exploitation (Project Shadow),Operational Alert,2025,OCSE,Updated Project Shadow indicators on OCSE-linked financial flows.,https://fintrac-canafe.canada.ca/intel/operation/exploitation-eng,All FIs
North America,Canada,FINTRAC,Operational Alert: Updated HT for Sexual Exploitation (Project Protect),Operational Alert,2021,Human trafficking,Updated Project Protect indicators on human trafficking financial flows.,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-2021-eng,"Banks, MSBs"
North America,Canada,FINTRAC,Operational Alert: Underground Banking Schemes (Project Athena),Operational Alert,2022,Underground banking,Updated Project Athena indicators on underground banking and informal value transfer.,https://fintrac-canafe.canada.ca/intel/operation/ml-rec-eng,"Banks, MSBs"
North America,Canada,FINTRAC,Operational Alert: Professional ML through Trade & MSBs,Operational Alert,2019,PML/TBML,Indicators of professional money laundering networks operating through trade and MSBs.,https://fintrac-canafe.canada.ca/intel/operation/oai-ml-eng,"Banks, MSBs"
Europe (UK),United Kingdom,OFSI,OFSI Cryptoassets Threat Assessment,Threat Assessment Page,2025,Cryptoasset sanctions evasion,Sectoral assessment of cryptoasset-sector sanctions risks; supports risk-based compliance for VASPs/CASPs operating in the UK.,https://www.gov.uk/government/publications/sanctions-compliance-in-the-cryptoassets-sector-threat-assessment,"CASPs/VASPs, FIs"
Europe,European Union,Europol,Internet Organised Crime Threat Assessment (IOCTA 2025),Assessment,2025,Cybercrime,Annual EU-wide assessment of cyber-enabled crime.,https://www.europol.europa.eu/publication-events/main-reports/internet-organised-crime-threat-assessment-iocta-2025,All FIs
Europe,Luxembourg,CSSF,Circular CSSF 18/698 — AML/CFT for Investment Funds,Circular,2018+,Investment funds,Foundational AML/CFT circular for Luxembourg investment funds.,https://www.cssf.lu/en/Document/circular-cssf-18-698/,Luxembourg funds
Europe (CoE),Council of Europe (39 jurisdictions),MONEYVAL,"MONEYVAL Typology Reports — Virtual Assets, Online Gambling, Real Estate (collection)",Typology Reports collection (web),Various,Cross-jurisdictional ML/TF typologies,"MONEYVAL typology reports and research projects covering virtual asset risks, online gambling, real estate, professional enablers, and cross-border movement of cash and securities.",https://www.coe.int/en/web/moneyval/activities/typologies,"FIs, DNFBPs, regulators"
Asia,Singapore,MAS,Notice 626 — Prevention of ML and CFT (Banks),Notice,2025,All ML/TF,Binding AML/CFT notice for Singapore banks; foundational obligation.,https://www.mas.gov.sg/regulation/notices/notice-626,Banks
Asia,Singapore,MAS,Strengthening Controls — Misuse of Legal Persons & Complex Structures,Guidance,2023,Shell companies/BO,Updated guidance on legal person and complex structure misuse.,https://www.mas.gov.sg/regulation/guidance/amlcft-controls-on-risks-of-misuse-of-legal-persons-arrangements-and-complex-structures,Banks
Asia,Singapore,ACIP/MAS,Countering Proliferation Financing — Industry Best Practices,Best Practice Paper,Mar 2025,Proliferation,ACIP best practices for countering proliferation financing.,https://www.mas.gov.sg/regulation/anti-money-laundering/amlcft-industry-partnership-acip,Banks
Asia,Singapore,MAS,ML/TF/PF Risk Assessments — Sectoral and National,Risk Assessments,2024+,National,Suite of ML/TF/PF risk assessments published by MAS.,https://www.mas.gov.sg/regulation/anti-money-laundering/ml-tf-pf-risk-assessments,All FIs
Asia (HK),Hong Kong,JFIU / FMLIT,Guidance on Suspicious Transaction Reporting and Fraud and Money Laundering Intelligence Taskforce (FMLIT) Alerts,Guidance / Alerts (web),Various,STR / FMLIT alerts (HK),"JFIU STR guidance and FMLIT public-private partnership alerts covering recent typologies in HK — investment scams, mule networks, virtual assets, third-party payments and trade-based laundering.",https://www.jfiu.gov.hk/en/str_main.html,"HK FIs, DNFBPs"
Asia (KR),South Korea,KoFIU,KoFIU AML/CFT Framework and Annual Reports,Framework / Annual Reports (web),Various,AML/CFT framework / SAR statistics (KR),"KoFIU's legal framework, SAR/CTR statistics, sectoral risk findings (banks, securities, virtual assets) and typology examples observed in Korean FIs.",https://www.kofiu.go.kr/eng/main.do,"Korean FIs, VASPs"
Asia,India,RBI,Master Direction — KYC,Master Direction,Updated 2023,KYC/CDD,RBI master direction on KYC including suspicious transaction reporting.,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx?id=11566,Indian banks
Asia,Philippines,AMLC,Advisory — Use of Filipino Dummies (Drug Trade),Advisory,Recent,Drug trade,Advisory on use of Filipino dummies in drug trade laundering.,http://www.amlc.gov.ph/home/16-news-and-announcements/236-advisory-on-the-typologies-report-on-the-use-of-filipinos-and-businesses-as-dummies,PH FIs
MENA (AE),United Arab Emirates,CBUAE,CBUAE Rulebook — AML/CFT (master regulatory framework page),Rulebook (web),Current,Master AML/CFT rulebook,"CBUAE rulebook landing for AML/CFT — links to all regulations, decisions, guidance and notices binding on Licensed Financial Institutions and Registered Hawala Providers.",https://rulebook.centralbank.ae/en/rulebook/amlcft,UAE LFIs / RHPs
MENA (AE),United Arab Emirates,CBUAE,Guidance for Licensed Financial Institutions on Risks Related to Trade-Based Money Laundering (TBML) and Transshipment,Guidance (web) + Annex 1 Red Flags,2022,TBML / illicit transshipment,"Comprehensive TBML/transshipment red flags compilation: payment-trade discrepancies, falsified documents, phantom shipments, over/under-invoicing, third-party payments, shell-company patterns, and proliferation finance overlaps. Annex 1 contains the consolidated red-flag list.",https://rulebook.centralbank.ae/en/rulebook/annex-1-tbml-and-illicit-transshipment-red-flags,"UAE LFIs (trade finance, banks)"
MENA (AE),United Arab Emirates,CBUAE,Guidance for Licensed Financial Institutions on the Implementation of Targeted Financial Sanctions,Guidance (web),2022,TFS / TF / PF sanctions,"TFS implementation: SCP elements, screening expectations, sanctions evasion red flags (esp. TF/PF circumvention), risk assessment templates, and reference to Executive Office's typology compendium on TFS circumvention.",https://rulebook.centralbank.ae/en/rulebook/guidance-licensed-financial-institutions-implementation-targeted-financial-sanctions,UAE LFIs
Asia,UAE,CBUAE,Guidance for LFIs on STR Reporting,Guidance,2024+,STR,STR reporting guidance for UAE LFIs.,https://rulebook.centralbank.ae/en/rulebook/guidance-licensed-financial-institutions-suspicious-transaction-reporting,UAE LFIs
Australia/Oceania,Australia,AUSTRAC,Superannuation Sector Threat Update,Update,2024,Superannuation,Threat update on superannuation sector ML/TF risks.,https://www.austrac.gov.au/business/how-comply-and-report-guidance-and-resources/guidance-resources/risk-assessments,Super funds
Asia-Pacific (AU),Australia,AUSTRAC,Indicators of suspicious activity — Banking sector,Indicator Page (web),Current,AML/CTF indicators — banks,"Detailed banking-sector red flags: structuring, foreign jurisdiction risk, TBML, mule accounts, terrorism-financing, tax-crime, cash-intensive activity and personal-vs-business commingling.",https://www.austrac.gov.au/industry-and-business/education-and-resources/publications-and-resources/indicators-suspicious-activity-banking-sector,Banks
Asia-Pacific (AU),Australia,AUSTRAC,Indicators of suspicious activity — Securities and derivatives sector,Indicator Page (web),Current,AML/CTF indicators — securities,"Securities & derivatives red flags: wash trading, matched buy/sell, dormant account activation, large/structured cash deposits to trading accounts, BO opacity, insider-trading patterns.",https://www.austrac.gov.au/industry-and-business/education-and-resources/publications-and-resources/indicators-suspicious-activity-securities-and-derivatives-sector,Securities/derivatives intermediaries
Australia/Oceania,Australia,AUSTRAC,Typologies and Case Studies Report,Typology Report,2007–2014,All ML/TF,Historical typologies and case studies reports.,https://www.austrac.gov.au/industry-and-business/education-and-resources/publications-and-resources/typologies-paper-austrac-money-laundering-and-terrorism-financing-indicators,All AU FIs
International,Supranational,FATF,Trade-Based Money Laundering: Trends and Developments,Typology,2020,TBML,Updated TBML typology report consolidating modern trends.,https://www.fatf-gafi.org/en/publications/Methodsandtrends/Trade-based-money-laundering-trends-and-developments.html,All FIs
International,Supranational,FATF,RBA Guidance for the Real Estate Sector,Guidance,2022,Real estate,Updated RBA guidance for the real estate sector.,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Guidance-rba-real-estate-sector.html,Real estate
International,Supranational,FATF,Complex Proliferation Financing and Sanctions Evasion Schemes,Report,Jun 2025,PF/Sanctions,Published 20 June 2025; finds only 16% of FATF-assessed countries demonstrate high or substantial effectiveness on Immediate Outcome 11.,https://www.fatf-gafi.org/en/publications/Financingofproliferation/complex-proliferation-financing-sanction-evasion-schemes.html,All FIs
International,Supranational,FATF/Egmont,Concealment of Beneficial Ownership,Typology,2018,BO,Joint FATF/Egmont report on BO concealment techniques.,https://www.fatf-gafi.org/en/publications/Methodsandtrends/Concealment-beneficial-ownership.html,All FIs
International,Supranational,FATF,Counter Proliferation Financing — Implementation of UN Provisions,Guidance,2018/2021,PF,Guidance on implementing UN proliferation financing provisions.,https://www.fatf-gafi.org/en/publications/Financingofproliferation/Guidance-counter-proliferation-financing.html,All FIs
International,Supranational,FATF,ML/TF Through the Real Estate Sector,Typology,2007,Real estate,Foundational FATF typology report on real estate ML/TF.,https://www.fatf-gafi.org/en/publications/Methodsandtrends/Moneylaunderingandterroristfinancingthroughtherealestatesector.html,"Real estate, banks"
International,Supranational,FATF,Trade-Based Money Laundering (foundational),Typology,2006,TBML,Foundational FATF TBML typology report (superseded by 2020 update).,https://www.fatf-gafi.org/en/publications/Methodsandtrends/Trade-basedmoneylaundering.html,All FIs
International,Supranational,BIS / Basel Committee,Sound Management of Risks Related to ML and TF,Guidance,2020,All ML/TF,Basel Committee guidance on sound management of ML/TF risks.,https://www.bis.org/bcbs/publ/d505.htm,Banks
